17:57:02.770 -> red=125490, ir=60247, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.865 -> red=125470, ir=60234, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.959 -> red=125445, ir=60234, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.053 -> red=125543, ir=60252, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.149 -> red=125544, ir=60241, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.289 -> red=125534, ir=60212, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.337 -> red=125480, ir=60210, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.478 -> red=125554, ir=60291, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.572 -> red=125444, ir=60119, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.665 -> red=125076, ir=60001, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:03.759 -> red=124941, ir=59986, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:03.900 -> red=124860, ir=59922, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:03.947 -> red=124757, ir=59858, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.087 -> red=124424, ir=59583, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.180 -> red=124354, ir=59565, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.274 -> red=124455, ir=59543, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.369 -> red=124431, ir=59536, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.462 -> red=124437, ir=59485, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.556 -> red=124194, ir=59381, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.696 -> red=123763, ir=58883, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.743 -> red=123151, ir=58185, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.883 -> red=122555, ir=57848, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:04.976 -> red=122238, ir=57630, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.070 -> red=121914, ir=57509, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.167 -> red=121845, ir=57467, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.309 -> red=121671, ir=57384, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
17:57:05.355 -> red=121501, ir=57290, HR=125, HRvalid=1, SPO2=-999, SPO2Valid=0
